street|number|locality|xpos|ypos|street_sv
"Majakkakuja"|5|"Helsinki"|2567563|6682487|"Fyrgränd"
"Ahoniityntie"|3|"Vantaa"|2548089|6693706|"Svedängsvägen"
"Ahoniityntie"|9|"Vantaa"|2548152|6694140|"Svedängsvägen"
"Ahoniityntie"|19|"Vantaa"|2548345|6694397|"Svedängsvägen"
"Ahoniityntie"|23|"Vantaa"|2548484|6694704|"Svedängsvägen"
"Ainontie"|27|"Vantaa"|2543616|6684119|"Ainovägen"
"Ainontie"|42|"Vantaa"|2543788|6684113|"Ainovägen"
"Angervotie"|13|"Vantaa"|2555949|6689337|"Spireavägen"
"Antaksentie"|4|"Vantaa"|2552470|6687279|"Antasvägen"
"Elannontie"|1|"Vantaa"|2553080|6686770|"Elantovägen"
"Etnankuja"|1|"Vantaa"|2556222|6690943|"Etnagränden"
"Fallbackankaari"|65|"Vantaa"|2558720|6695970|"Fallbackabågen"
"Fazerintie"|2|"Vantaa"|2561778|6683374|"Fazersvägen"
"Fazerintie"|4|"Vantaa"|2561600|6683130|"Fazersvägen"
"Fazerintie"|17|"Vantaa"|2561247|6683549|"Fazersvägen"
"Getbackantie"|4|"Vantaa"|2548830|6692770|"Getbackavägen"
"Hakintie"|1|"Vantaa"|2559574|6687315|"Haxvägen"
"Hakintie"|5|"Vantaa"|2559837|6687673|"Haxvägen"
"Hakkilankaari"|2|"Vantaa"|2560614|6688306|"Haxböleslingan"
"Hakunilantie"|34|"Vantaa"|2561246|6684975|"Håkansbölevägen"
"Hakunilantie"|62|"Vantaa"|2561525|6685959|"Håkansbölevägen"
"Hakunilantie"|74|"Vantaa"|2562174|6686478|"Håkansbölevägen"
"Heidehofintie"|2|"Vantaa"|2558161|6686269|"Heidehofsvägen"
"Hevoshaantie"|15|"Vantaa"|2561843|6685728|"Hästhagsvägen"
"Hopeapajuntie"|3|"Vantaa"|2546460|6695370|"Silverpilsvägen"
"Isokaari"|5|"Vantaa"|2558273|6685953|"Storsvängen"
"Isontammentie"|2|"Vantaa"|2547189|6686669|"Storeksvägen"
"Isontammentie"|9|"Vantaa"|2547399|6686853|"Storeksvägen"
"Jelmusantie"|1|"Vantaa"|2544759|6692247|"Jällmossvägen"
"Jokimaantie"|5|"Vantaa"|2542156|6691514|"Jokimaavägen"
"Kaakkoisväylä"|3|"Vantaa"|2560968|6692602|"Sydostpassagen"
"Kaislatie"|22|"Vantaa"|2556866|6686832|"Sävvägen"
"Kalkkiuunintie"|4|"Vantaa"|2563445|6687084|"Kalkugnsvägen"
"Kalkkiuunintie"|15|"Vantaa"|2563651|6687378|"Kalkugnsvägen"
"Kallioimarteentie"|7|"Vantaa"|2556765|6689807|"Stensötsvägen"
"Kalliosolantie"|2|"Vantaa"|2550382|6687657|"Bergpassvägen"
"Karhunkierros"|1|"Vantaa"|2545047|6683167|"Björnringen"
"Kaskelanrinne"|2|"Vantaa"|2560971|6686136|"Brokärrsbrinken"
"Kaskelanrinne"|3|"Vantaa"|2560962|6686220|"Brokärrsbrinken"
"Kastanjakuja"|1|"Vantaa"|2544669|6683105|"Kastanjegränden"
"Katajistontie"|14|"Vantaa"|2546021|6696792|"Katajistovägen"
"Katriinantie"|4|"Vantaa"|2549063|6688769|"Katrinevägen"
"Katriinantie"|12|"Vantaa"|2549552|6689475|"Katrinevägen"
"Katriinantie"|31|"Vantaa"|2551415|6691396|"Katrinevägen"
"Katriinantie"|37|"Vantaa"|2551061|6692256|"Katrinevägen"
"Katriinantie"|50|"Vantaa"|2550647|6693138|"Katrinevägen"
"Katriinantie"|52|"Vantaa"|2549885|6693402|"Katrinevägen"
"Katriinantie"|62|"Vantaa"|2548275|6693272|"Katrinevägen"
"Kielotie"|9|"Vantaa"|2557519|6687094|"Konvaljvägen"
"Kirkantie"|15|"Vantaa"|2545237|6691091|"Kirkavägen"
"Kirkantie"|17|"Vantaa"|2544973|6690867|"Kirkavägen"
"Kirkkotie"|33|"Vantaa"|2554379|6685637|"Kyrkovägen"
"Kistolantie"|3|"Vantaa"|2544560|6693710|"Kistolavägen"
"Kisällintie"|11|"Vantaa"|2547456|6688852|"Gesällvägen"
"Koisotie"|8|"Vantaa"|2556286|6688221|"Kvesvedsvägen"
"Koisotie"|9|"Vantaa"|2556031|6688314|"Kvesvedsvägen"
"Koivikkotie"|6|"Vantaa"|2547635|6686211|"Björkdungsvägen"
"Koivumäentie"|18|"Vantaa"|2561175|6684305|"Björkbacksvägen"
"Koivurinne"|9|"Vantaa"|2543646|6686880|"Björkbrinken"
"Koivurinne"|15|"Vantaa"|2543680|6687610|"Björkbrinken"
"Koivurinne"|17|"Vantaa"|2543694|6687673|"Björkbrinken"
"Koivurinne"|22|"Vantaa"|2543942|6687692|"Björkbrinken"
"Kolisevantie"|1|"Vantaa"|2545327|6694945|"Kolisevavägen"
"Kolisevantie"|3|"Vantaa"|2545314|6695022|"Kolisevavägen"
"Kolisevantie"|4|"Vantaa"|2545262|6694887|"Kolisevavägen"
"Kongontie"|1|"Vantaa"|2544009|6693470|"Kongovägen"
"Kongontie"|2|"Vantaa"|2544016|6693434|"Kongovägen"
"Kongontie"|3|"Vantaa"|2543437|6693472|"Kongovägen"
