LON,LAT,NUMBER,STREET,CITY,DISTRICT,REGION,POSTCODE,ID
25.4982149,64.9948401,4b,Telkkätie,,,,,
25.4981472,64.9947404,6a,Telkkätie,,,,,
25.4980851,64.9946409,6b,Telkkätie,,,,,
25.4980296,64.9945359,8a,Telkkätie,,,,,
25.4979796,64.9944404,8b,Telkkätie,,,,,
25.4979249,64.9943518,10a,Telkkätie,,,,,
25.4978789,64.9942761,10b,Telkkätie,,,,,
25.4979482,64.9941441,12a,Telkkätie,,,,,
25.4978932,64.9940593,12b,Telkkätie,,,,,
25.4962669,64.9942065,25b,Sorsatie,,,,,
25.4963423,64.9943005,25a,Sorsatie,,,,,
25.4963788,64.9944098,23b,Sorsatie,,,,,
25.496451,64.9945079,23a,Sorsatie,,,,,
25.4965257,64.9946027,21b,Sorsatie,,,,,
25.4965877,64.9946997,21a,Sorsatie,,,,,
25.4966523,64.9948053,19b,Sorsatie,,,,,
25.4967213,64.994902,19a,Sorsatie,,,,,
25.4967801,64.9950067,17b,Sorsatie,,,,,
25.4968762,64.9950945,17a,Sorsatie,,,,,
25.4972354,64.9953535,14,Hanhitie,,,,,
25.5002789,64.9947199,4a,Sotkatie,,,,,
25.5001999,64.9946165,4b,Sotkatie,,,,,
25.500152,64.9945179,6a,Sotkatie,,,,,
25.5157167,64.9501912,14,Maaniitynkuja,,,,,
25.5001073,64.9944244,6b,Sotkatie,,,,,
25.5000551,64.9943296,8a,Sotkatie,,,,,
25.5143754,64.9497821,19,Maaniityntie,,,,,
25.4999972,64.9942286,8b,Sotkatie,,,,,
25.5139364,64.9498138,16,Maaniityntie,,,,,
25.4999391,64.9941399,10a,Sotkatie,,,,,
25.4998717,64.99405,10b,Sotkatie,,,,,
25.4999572,64.9939257,12a,Sotkatie,,,,,
25.4999034,64.9938292,12b,Sotkatie,,,,,
25.4981862,64.9940272,11b,Telkkätie,,,,,
25.4982566,64.994127,11a,Telkkätie,,,,,
25.4984565,64.9941708,9b,Telkkätie,,,,,
25.498511,64.9942726,9a,Telkkätie,,,,,
25.4985677,64.9943699,7b,Telkkätie,,,,,
25.4986059,64.9944708,7a,Telkkätie,,,,,
25.4986901,64.9945687,5b,Telkkätie,,,,,
25.498754,64.994678,5a,Telkkätie,,,,,
25.6596798,64.9336208,205,Juurussuontie,,,,,
25.498813,64.9947778,3b,Telkkätie,,,,,
25.4988717,64.9948786,3a,Telkkätie,,,,,
25.6264553,64.9439306,2,Ruunapalonlaita,,,,,
25.499701,64.9950724,18,Hanhitie,,,,,
25.627871,64.9435462,14,Ruunapalonlaita,,,,,
25.5020766,64.9948123,24,Hanhitie,,,,,
25.5019792,64.9945194,24a,Haapanatie,,,,,
25.5019194,64.9944238,24b,Haapanatie,,,,,
25.5018674,64.9943253,26a,Haapanatie,,,,,
25.5017971,64.9942264,26b,Haapanatie,,,,,
25.5017432,64.9941264,28a,Haapanatie,,,,,
25.5016745,64.9940274,28b,Haapanatie,,,,,
25.5016243,64.993926,30a,Haapanatie,,,,,
25.5015545,64.9938175,30b,Haapanatie,,,,,
25.6624016,64.9329997,203,Juurussuontie,,,,,
25.5016064,64.9937101,32a,Haapanatie,,,,,
25.5015556,64.9936091,32b,Haapanatie,,,,,
25.5001654,64.9937623,11b,Sotkatie,,,,,
25.5150747,64.950613,9,Maaniitynkuja,,,,,
25.5002303,64.9938745,11a,Sotkatie,,,,,
25.5004615,64.9939498,9b,Sotkatie,,,,,
25.6237462,64.9439554,196,Kummunkankaantie,,,,,
25.5005086,64.9940485,9a,Sotkatie,,,,,
25.6135805,64.9486081,40,Lehtikankaantie,,,,,
25.5005726,64.9941545,7b,Sotkatie,,,,,
25.5006301,64.99425,7a,Sotkatie,,,,,
25.5007077,64.9943494,5b,Sotkatie,,,,,
25.5007509,64.9944468,5a,Sotkatie,,,,,
25.5008138,64.9945453,3b,Sotkatie,,,,,
25.5008807,64.994641,3a,Sotkatie,,,,,
25.5014968,64.9948748,22,Hanhitie,,,,,
25.5029583,64.9946283,21a,Haapanatie,,,,,
25.5028975,64.9945303,21b,Haapanatie,,,,,
25.5028904,64.9944237,23a,Haapanatie,,,,,
25.5028618,64.9943216,23b,Haapanatie,,,,,
25.5027579,64.9942238,25a,Haapanatie,,,,,
25.5027183,64.9941196,25b,Haapanatie,,,,,
25.502661,64.9940267,27a,Haapanatie,,,,,
25.5025674,64.9939315,27b,Haapanatie,,,,,
25.5257759,65.014042,98,Oulunsuunkuja,,,,,
25.525973,65.0136542,102,Oulunsuunkuja,,,,,
25.5253667,65.0146636,81,Oulunsuunkuja,,,,,
25.525684,65.0144038,83,Oulunsuunkuja,,,,,
25.5264784,65.0160492,11,Pennantie,,,,,
25.5264435,65.0163916,10,Jaakonpolku,,,,,
25.5607763,64.9956259,1,Jääkellarinkuja,,,,,
25.5614828,64.995148,2,Tallikuja,,,,,
25.5604309,64.9949961,6,Tallikuja,,,,,
25.4863111,65.010958,2,Rata-Aukio,,,,,
25.4795682,65.0141476,15,Linnankatu,,,,,
25.4795061,65.0143173,7,Uusikatu,,,,,
25.4803033,65.0144678,12,Heikinkatu,,,,,
25.4797406,65.0144747,5,Uusikatu,,,,,
25.4812499,65.0139664,8,Mäkelininkatu,,,,,
25.4805508,65.0138555,21,Linnankatu,,,,,
25.4752619,65.0099488,40,Mäkelininkatu,,,,,
25.3927118,65.0826714,17,Valkamantie,,,,,
25.5647392,64.9883544,7,Kajaaninpolku,,,,,
25.5702559,64.9906069,21,Puranpolku,,,,,
25.5694522,64.9910174,19b,Purantie,,,,,
25.5689754,64.9908525,19a,Purantie,,,,,
25.414622,65.070804,54,Tervakukkatie,,,,,
25.5695746,64.9855166,210,Kajaanintie,,,,,
25.570278,64.9854467,212a,Kajaanintie,,,,,
25.5726344,64.9854472,218,Kajaanintie,,,,,
25.578542,64.9849257,234,Kajaanintie,,,,,
25.5789716,64.9848222,236,Kajaanintie,,,,,
25.5794273,64.9847049,238,Kajaanintie,,,,,
25.5786199,64.9850575,243,Kajaanintie,,,,,
25.6019503,64.9775358,15,Juuruksentie,,,,,
25.6019575,64.97719,17,Juuruksentie,,,,,
25.5970271,64.9781007,21,Kangaskontiontie,,,,,
25.5963885,64.9786427,18,Ohramaltaantie,,,,,
25.5967278,64.9789703,20,Ohramaltaantie,,,,,
25.5994525,64.9791864,17,Ohramaltaantie,,,,,
25.5993253,64.9804617,19,Maissimakasiinintie,,,,,
25.5939739,64.9807294,2,Mallasaitantie,,,,,
25.4353574,65.074954,40,Vahtolanpolku,,,,,
25.4355825,65.0744831,42,Vahtolanpolku,,,,,
25.4595733,65.0106744,12,Saunaranta,,,,,
25.3986502,65.0703281,20,Karinkannantie,,,,,
25.4853297,65.0079548,12,Syrjäkatu,,,,,
25.4002643,65.0718817,1,Säletie,,,,,
25.5140782,65.0636998,13,Liikasentie,,,,,
25.3999501,65.071911,3,Säletie,,,,,
25.4866636,65.0088587,8,Syrjäkatu,,,,,
25.4854395,65.0095421,10,Ratakatu,,,,,
25.525901,65.0691454,11,Kalikkalammentie,,,,,
25.484974,65.0092235,11,Ratakatu,,,,,
25.4869787,65.0090708,6,Syrjäkatu,,,,,
25.4865496,65.0103065,8,Ratakatu,,,,,
25.486119,65.0100125,9,Ratakatu,,,,,
25.4877334,65.0095798,4,Syrjäkatu,,,,,
25.4881888,65.0098866,2,Syrjäkatu,,,,,
25.4882103,65.0095108,3,Syrjäkatu,,,,,
25.4886013,65.0097664,1,Syrjäkatu,,,,,
25.4877225,65.0091702,7,Syrjäkatu,,,,,
25.4232352,65.0988211,6,Radanvarsi,,,,,
25.4873871,65.0089437,9,Syrjäkatu,,,,,
25.4871395,65.0087652,11,Syrjäkatu,,,,,
25.4883627,65.0083697,12,Puutarhakatu,,,,,
25.4887966,65.0086582,10,Puutarhakatu,,,,,
25.4890093,65.0088131,8,Puutarhakatu,,,,,
25.4893365,65.0090416,6,Puutarhakatu,,,,,
25.4896403,65.0092418,4,Puutarhakatu,,,,,
25.4899844,65.0094801,2,Puutarhakatu,,,,,
25.4863567,65.0082296,13,Syrjäkatu,,,,,
